name,city,country,description,url,plot,osm,lat,lon,tags,aliases,img,date
Al Canton,Venezia,it,Il Cubo di Venezia,https://tripadvisor.com/Restaurant_Review-g187870-d6776628-Reviews-Bar_Al_Canton-Venice_Veneto.html,https://tommi.space/al-canton,https://osm.org/node/1777146001,45.43427,12.31684,,,,2020-11
Ca’ Foscari Zattere,Venezia,it,L’ineguagliabile culla delle mie elucubrazioni veneziane e delle mie ansie da studio.,https://unive.it/pag/10114,https://tommi.space/cfz,https://osm.org/node/9591908000,45.42994,12.32494,library,"CFZ,Zattere",https://tommi.space/zattere-in.jpg,2020-11
Val Codera,,it,"Culla della resistenza dello scoutismo italiano, rimarrà per sempre nel mio cuore dalla mia Route 2019",https://scoutcodera.it,,,46.26217,9.52314,scout,,https://tommi.space/val-codera.webp,2019-07-30
Conservatorio Benedetto Marcello,Venezia,it,"Un angolo speciale in cui sedersi e sfiorare una folata di suoni differenti e discordi, il cui matrimonio diventa magico in questa suggestiva cornice.",https://conservatoriovenezia.eu,,https://osm.org/node/6860789703,45.43189,12.3304,,,,2022-02-17T12:47:03+01:00
Camera a sud,Bologna,it,"La mia amica Amalia ha portato qui me e Marghe durante la prima nostra giornata a Bologna, indimenticabile.",https://cameraasud.net,,https://osm.org/node/4394858390,44.4963382,11.3471782,bar,,,2022-02-03T19:18:26+01:00
La Paella de la Reina,Madrid,es,"Una Paella con la P maiuscola, gustata con immancabile sangria e un’immancabile amica speciale.",,,,40.419204,-3.697219,food,,https://tommi.space/paella.webp,2022-03-26T16:02:59+01:00
Sala Equis,Madrid,es,La mia amica Alice mi conosce bene e conosce bene le *vibe* che adoro nei luoghi che vivo. Questo locale/cinema è 100% così.,https://salaequis.es,,,40.411907,-3.705684,bar,,https://tommi.space/sala-esquis.webp,2022-03-28T22:10:50+02:00
San Servolo,Venezia,it,"Una minuscola isola ricca di storia, storie, emozioni e ricordi. Ho frequentato qui la [VIU](https://univiu.org)",https://servizimetropolitani.ve.it/it,,https://osm.org/way/172262441,45.41876,12.35728,,"VIU,Venice International University",https://tommi.space/sanservolo.webp,2021-10-15
Casa del Popolo,Firenze,it,Un centro sociale dove si gioca a bocce e si bevono spritz al tramonto,https://arcifirenze.it/circoli/casa-del-popolo-di-settignano,,,43.7832197361105,11.321231257181,bar pano,,https://tommi.space/casadelpopolo-settignano.webp,2022-08-02T20:13:09+02:00
Not A Beer,Grenoble,fr,Il locale dell’Erasmus 2022,https://notabeer.com,https://tommi.space/notabeer,https://osm.org/node/3048042881,45.1915059,5.7304996,bar,,https://tommi.space/notabeer.webp,2022-09-06T23:07:44+02:00
Bibliothèque Droit-Lettres,Grenoble,fr,Nessuna sala relax potrà mai eguagliare quella di questa biblioteca da sogno.,https://bibliotheques.univ-grenoble-alpes.fr/bibliotheques/bibliotheque-universitaire-droit-et-lettres-39984.kjsp,https://tommi.space/grenoble,https://osm.org/way/32223814,45.19097,5.77181,library,"BDL,UGA BDL,Bibliothèque DL",https://tommi.space/bdl.webp,2022-09-12T14:41:14+02:00
La Bastille,Grenoble,fr,"La bastiglia di Grenoble, a cui si arriva con una favolosa passeggiata.",https://bastille-grenoble.fr,https://tommi.space/grenoble,https://osm.org/node/2876574205,45.1989532,5.7252736,trekking nature bar pano,La Bastille de Grenoble,https://tommi.space/grenoble-bastille.webp,2022-09-01T19:28:20+02:00
Pas du Serpaton,Grenoble,fr,La meta della mia prima <em lang='fr'>randonnée</em> a Grenoble.,,https://tommi.space/grenoble,https://osm.org/node/4213600598,44.9097825,5.5903902,trekking nature pano,Col du Serpaton,https://tommi.space/serpaton.webp,2022-09-17T13:56:51+02:00
La Bobine,Grenoble,fr,Un locale molto stiloso e alternativo nel parco principale di Grenoble,https://labobine.net,,https://osm.org/node/2716675483,45.1831033,5.7358653,bar music,,https://tommi.space/la-bobine.webp,2022-11-10T23:08:19+01:00
Club Tenco,Sanremo,it,"La vecchia stazione di Sanremo è ora la sede del Club Tenco, un luogo magico dove il cantautorato trasuda in ogni angolo",https://clubtenco.it,,https://osm.org/way/201489156,43.81427,7.77314,music,"Sede Club Tenco,Tenco",,2017-10-30
Tolentini,Venezia,it,Uno dei luoghi scoperti nei miei ultimi mesi di triennale a [Venezia](/venezia),https://iuav.it/BIBLIOTECA/CHI-SIAMO/storia-e-m,,https://osm.org/way/129299891,45.4376,12.32277,library,IUAV Tolentini,https://tommi.space/iuav-biblio.webp,2023-02-17T14:51:48+01:00
Newspeak House,London,gb,"Newspeak House is the London College of Political Technology–an independent residential college founded in 2015 to study, nurture and inspire emerging communities of practice across civil society and the public sector in the UK.",https://newspeak.house,,,51.52528,-0.07123,community,,https://tommi.space/newspeak-house.webp,2023-10-04T22:00:00+01:00
The Embassy,San Francisco,us,An [Intentional Community](https://ic.org) of wonderful and insightful people.,https://embassynetwork.com,,https://osm.org/way/261427989,37.77397,-122.42935,community,,https://tommi.space/embassy.webp,2023-06-26T18:00:00-07:00
Noisebridge,San Francisco,us,The first [hackerspace](https://www.hackerspaces.org) I haver been to. It left me astonished and in love.,https://noisebridge.net/wiki/272,,https://osm.org/way/960975186,37.76246,-122.41856,community hackerspace,,https://tommi.space/noisebridge.webp,2023-06-28T15:45:00-07:00
Internet Archive,San Francisco,us,Home to the greatest open digital archive in the world.,https://archive.org,,https://osm.org/way/38092130,37.7823,-122.47174,org,,https://tommi.space/ia-tbl-graham.webp,2023-06-21T16:20:00-07:00
MayDay Rooms,London,gb,"MayDay Rooms is where I held the [Fediverse Workshop](https://tommi.space/fedilab) for [AntiUniversity 2023](https://2023.antiuniversity.org). It is archive, resource and safe haven for social movements, experimental and marginal cultures and their histories.",https://maydayrooms.org,,https://osm.org/node/11240782057,51.51403,-0.10567,community,,https://tommi.space/mayday-fedilab-net.webp,2023-10-05T18:00:00+01:00
Heartfort House,London,gb,[Theo](https://nutcroft.com 'Theodore Keloglu’s personal blog')’s home. The most lovely home I have ever been hosted in so far.,https://heartfort.com,,,,,community home,,https://tommi.space/heartfort.webp,2023-10-05T22:27:00+01:00
Camera Hut,London,gb,The little corner of Camden Town where I fortuitously bought a super rare macro lens.,https://camdenmarket.com/shops/camera-hut,,,51.54149,-0.14599,,,https://tommi.space/camera-hut.webp,2017-06-21
xHain,Berlin,de,The cozy and lovely hackerspace that has been my introduction to Berlin life and environment.,https://x-hain.de,https://pan.rent/@tommi/111307808374596519,https://osm.org/node/803941786,52.5127904,13.4497773,community hackerspace,,https://tommi.space/xhain.webp,2023-10-27T17:59:00+02:00
